idTransaccion,Empresa,Fecha,Hora,Banco,Cuenta,Concepto,Monto,Cargo,Abono,Moneda,MontoPosterior,Referencia,TipoCuenta,ClaveRastreo,TipoMovimiento,BancoEmisor,BancoReceptor,CuentaEmisora,CuentaReceptora,AliasCuenta,NombreEmisor,RFCEmisor,NombreReceptor,RFCReceptor,CEP_Dia,CEP_Mes,CEP_Anio,CEP_Hora,CEP_ClaveRastreo,CEP_Amount,CEP_IVA,CEP_Concepto,CEP_RFCReceptor,CEP_NombreReceptor,CEP_CuentaReceptora,CEP_BancoReceptor,CEP_RFCEmisor,CEP_NombreEmisor,CEP_CuentaEmisora,CEP_BancoEmisor,Categoria
4b76dafbfa13b9775edf365b93521351,Empresa A,31/08/23,22:36,HSBC,HSBC ****3175,I.V.A.,64,64,0,MXN,0,NA,Cheques,NA,Egreso,HSBC,NA,4067863175,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comisión
aa551cc6f98704f175519568f403af4e,Empresa A,31/08/23,22:36,HSBC,HSBC ****3175,PROMEDIO MENSUAL INFERIOR AL MINIMO,400,400,0,MXN,0,NA,Cheques,NA,Egreso,HSBC,NA,4067863175,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comisión
b06b22592b1db0aceb72d822e9c75a21,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,30082311445,5619.81,5619.81,0,MXN,0,2023083,Cheques,036INBU31082023126869993,Egreso interbancario,INBURSA,040072|BANORTE,3.61805E+16,7.218E+16,CodeINB,NA,NA,JOSE R Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nómina
08be906b9c9107771be4e4d3b45e16b1,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,30082311442,3940.53,3940.53,0,MXN,0,2023083,Cheques,036INBU31082023126869987,Egreso interbancario,INBURSA,040002|BANAMEX,3.61805E+16,2.13345E+15,CodeINB,NA,NA,DANIEL M L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nómina
2cc894dc8107563ea8f17afd4409751e,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,3008231144,3111.6,3111.6,0,MXN,0,2023083,Cheques,036INBU31082023126869983,Egreso interbancario,INBURSA,040002|BANAMEX,3.61805E+16,2.1807E+15,CodeINB,NA,NA,VICTOR M M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nómina
6b7653c2f7a45f2e1cbe0a70d032b593,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,221,157064,157064,0,MXN,0,2023083,Cheques,036INBU31082023126781910,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.218E+16,CodeINB,NA,NA,Empresa X TT,NA,31,8,2023,13:00:32,036INBU31082023126781910,157064,0,221,EXT010101X01,Empresa X TT,1.218E+16,BBVA BANCOMER,EMA010101X01,Empresa A SC,3.61805E+16,INBURSA,NA
193a9e9ff2b739afc8dea881ca2b8466,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,11443008231,5416.81,5416.81,0,MXN,0,2023083,Cheques,036INBU31082023126869985,Egreso interbancario,INBURSA,040002|BANAMEX,3.61805E+16,2.1809E+15,CodeINB,NA,NA,RENE M T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba39c26bb9a10ded221575c1e71beef7,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,3008231144,3111.6,3111.6,0,MXN,0,2023083,Cheques,036INBU31082023126869984,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.2438E+16,CodeINB,NA,NA,MATHA M R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e1ce433992b53a88344d258167c0d0f8,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,17216,66816,66816,0,MXN,0,2023083,Cheques,036INBU31082023126805250,Egreso interbancario,INBURSA,040072|BANORTE,3.61805E+16,7.218E+16,CodeINB,NA,NA,Empresa X COC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d1c00fae314e5a6c3637a2d56bf40945,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,NA,85.47,85.47,0,MXN,0,NA,Cheques,NA,Egreso,INBURSA,040036|INBURSA,3.61805E+16,NA,CodeINB,NA,NA,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43697e1416eece4a4803d2005e6b0c6a,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,NA,28.8,28.8,0,MXN,0,NA,Cheques,NA,Egreso,INBURSA,040036|INBURSA,3.61805E+16,NA,CodeINB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94dbbe8eb8bc9028e99a3671f7670974,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,NA,3228.52,0,3228.52,MXN,0,NA,Cheques,NA,Ingreso,040036|INBURSA,INBURSA,NA,3.61805E+16,CodeINB,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3280b8f01ff261bc406e5e87e6f76946,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,NA,180,180,0,MXN,0,NA,Cheques,NA,Egreso,INBURSA,040036|INBURSA,3.61805E+16,NA,CodeINB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d55196acc699134940c6f25726aef87c,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,30082311443,3111.6,3111.6,0,MXN,0,2023083,Cheques,036INBU31082023126869988,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.218E+16,CodeINB,NA,NA,ALAN E R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fbd1ce6e7a76309012df643eeaddc2a3,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,25698,17586.91,17586.91,0,MXN,0,2023083,Cheques,036INBU31082023126781918,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.218E+16,CodeINB,NA,NA,Empresa X U GLOBAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f8e23dd79349d3fe0c33691836b73cc8,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,30082311444,5134.04,5134.04,0,MXN,0,2023083,Cheques,036INBU31082023126869989,Egreso interbancario,INBURSA,040002|BANAMEX,3.61805E+16,2.1807E+15,CodeINB,NA,NA,JUAN A BÑOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b08168b1d37b6ed155b0e3a366003e48,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,59877,68324,68324,0,MXN,0,2023083,Cheques,036INBU31082023126781913,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.218E+16,CodeINB,NA,NA,Empresa X TU Espacio,NA,31,8,2023,13:00:54,036INBU31082023126781913,68324,0,59877,EXTU010101X01,Empresa X TU Espacio,1.218E+16,BBVA BANCOMER,EMA010101X01,Empresa A SC,3.61805E+16,INBURSA,NA
dabb2eac99e10912456aba35d6cb2e04,Empresa A,31/08/23,0:00:00,INBURSA,INBURSA ****0900,220,107184,107184,0,MXN,0,2023083,Cheques,036INBU31082023126781911,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.218E+16,CodeINB,NA,NA,Empresa X TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a3aaa9891fae6a3b1431d9fa1c55455a,Empresa B,30/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071327305  0027037227,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249b71e02238d6ecad1e2a9c3b0fe018,Empresa A,30/08/23,0:00:00,INBURSA,INBURSA ****0900,1.6433E+12,178742,178742,0,MXN,0,2023083,Cheques,036INBU30082023126687240,Egreso interbancario,INBURSA,040072|BANORTE,3.61805E+16,7.218E+16,CodeINB,NA,NA,Empresa X Herramientas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ae1192e7f2fb7ea24051f91be32303a7,Empresa B,30/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071327341  0022000648,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
