UUIDFactura,Nombre_Receptor,RFC_Receptor,Nombre_Emisor,RFC_Emisor,Concepto,FechaEmision,Monto,MetodoPago,Vigencia,DivisaFactura
FFEF058FDC614B61A18DAB18EF956A93,C**** S****S****,CSS010101**0,P****,PAD010101**3,,31/07/2023,2411.65,PUE,No definido,MXN
FFBC060E17B34BD0AAF8C76391129246,C**** S****S****,CSS010101**0,E**** B****T****,EBT010101**6,,16/02/2023,64297.84,PUE,No definido,MXN
FEBB10B6B67A4720B41030DCFF7CD005,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,14/09/2023,62355.8,PPD,No definido,MXN
FDD4253F5278460A8C7BF45AB41F1BBD,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,16/10/2023,3947.84,PUE,31/10/2023,MXN
FD4950E704BC4FFDB93BCCA48368C5FE,C**** S****S****,CSS010101**0,I**** M****D****,IMS010101**5,,27/05/2023,18006.29,PUE,No definido,MXN
FC98101020BC4F12A4DCD3A47331F6B6,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,31/10/2023,160404.86,PPD,No definido,MXN
FC76B25DA63141DC97249A742B24C19A,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,14/07/2023,39926.24,PUE,No definido,MXN
FC5D3BE03A424143ACC54CD698A341CD,R**** M****T****,MOT010101**1,C**** S****S****,CSS010101**0,,01/02/2023,5416.36,PUE,No definido,MXN
FC299D28AF534770B592AA10D8B25E6B,C**** S****S****,CSS010101**0,G****,GLO010101**1,,06/09/2023,33621.71,PPD,No definido,MXN
FB179ADA56504C4AB3B2E93FD6038B12,S**** B****F****,SBF010101**0,S****,STE010101**8,,03/04/2023,5800,PPD,No definido,MXN
FAD67B7E769943D28550BC162F340260,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,14/09/2023,114939.19,PPD,No definido,MXN
FA5E3DFDA7AA4DE48D41D12F667D937E,C**** S****S****,CSS010101**0,S**** I****S****,SIN010101**7,,12/09/2023,7840.44,PPD,No definido,MXN
FA2F89560D2D46D4A049F95F96CFE6FF,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,31/10/2023,115706.98,PPD,No definido,MXN
F9CA0EF38B0546B2BBFBFEF70DE7BE75,C**** S****S****,CSS010101**0,B**** N****D****,BNM010101**1,,04/09/2023,0,PUE,No definido,MXN
F9090EFFB65E4FA89DD833EE637B3006,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,,08/08/2023,3111.6,PUE,No definido,MXN
F8C9A4C4E6AC411E92B531CED84BE513,C**** S****S****,CSS010101**0,I**** M****D****,IMS010101**5,,20/10/2023,8815.82,PUE,No definido,MXN
F7AFEE699FBE4D599CB2770AE263619B,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,06/11/2023,5134.04,PUE,30/11/2023,MXN
F5F8195996644E9D985D76665DB79C2F,C**** S****S****,CSS010101**0,I**** M****D****,IMS010101**5,,21/09/2023,18929.3,PUE,No definido,MXN
F5ACCCCF0478402CA5C519D1B5456278,S**** B****F****,SBF010101**0,S**** D****T****,STP010101**6,,31/01/2023,4165.21,PUE,No definido,MXN
F571F3118FF2428D9E3C83ACB714B478,V**** H****M****,MOM010101**4,C**** S****S****,CSS010101**0,,31/08/2023,3111.6,PUE,No definido,MXN
F4BB3C24997A4A309F7E9E09D7902B3F,C**** S****S****,CSS010101**0,I**** M****D****,IMS010101**5,,22/01/2023,17138.38,PUE,No definido,MXN
F4A0496C56E248E3998C8D5CDB91712A,S**** B****F****,SBF010101**0,S**** D****T****,STP010101**6,,01/09/2023,3970.68,PPD,No definido,MXN
F46B3D002467458D9F93895EABF1AD80,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,15/08/2023,39926.24,PUE,No definido,MXN
F1C492FA7DD7493EAFE89E16ABE06766,R**** M****T****,MOT010101**1,C**** S****S****,CSS010101**0,,03/05/2023,5428.47,PUE,No definido,MXN
F18497A5987D48F69D5644D3E19AD111,C**** S****S****,CSS010101**0,C**** G****M****,CGM010101**8,,31/08/2023,17586.91,PUE,No definido,MXN
F13B351BCB6B4A7B9FE30987B8122BDB,J**** A****R****,ROZ010101**2,C**** S****S****,CSS010101**0,,30/06/2023,5631.21,PUE,No definido,MXN
F0DAB65E127D43AB81C9562A99800347,M**** L****M****,MOR010101**7,C**** S****S****,CSS010101**0,,16/10/2023,3111.6,PUE,31/10/2023,MXN
F0A6FFF645A03B40881D7A8EE0545087,C**** S****S****,CSS010101**0,G****,GLO010101**1,,15/05/2023,39528.16,PPD,No definido,MXN
F0A23F0442A14575BB638C22498DB147,C**** S****S****,CSS010101**0,C**** C****O****,CCO010101**5,,03/11/2023,66816,PUE,30/11/2023,MXN
F01F275E816944B6ADD17C7A051FD79C,S**** B****F****,SBF010101**0,S****,STE010101**8,,02/11/2023,11600,PPD,No definido,MXN
F00EA1A6E905556B85C42F9BF4F9281F,S**** B****F****,SBF010101**0,S**** F****E****,SFO010101**2,,29/08/2023,1506.84,PUE,No definido,MXN
EFACDF8EBC764E0E88B9CC29A6C24F77,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,16/08/2023,3947.84,PUE,No definido,MXN
EEB886969D7B4470BB0EEF267F552C08,R**** M****T****,MOT010101**1,C**** S****S****,CSS010101**0,,16/08/2023,5427.53,PUE,No definido,MXN
EE68D75527C243E6BF246D6489EEBF51,C**** S****S****,CSS010101**0,C**** G****M****,CGM010101**8,,05/10/2023,15688.77,PUE,31/10/2023,MXN
